job_description,job_title,job_type,organization,sector,min_salary_annual,max_salary_annual,city,state
"ResponsibilitiesCandidate will participate in a team of C developers to create reusable software components running in the QNX Operating System. A candidate must be able to quickly understand the application requirements and make smart decisions about the best solution to a problem. Candidates must be able to collaborate with the team to create simple and supportable designs as well as participate in implementing designs. Candidate must be able to create accurate estimates of the time involved to finish tasks based on his own knowledge skills and abilities. Candidate must be able to write software that adheres to coding standards and is supportable as well as performance. Required Experience and Skills 5 Years Experience in C, C or Similar C like language Demonstrated ability to document and communicate designsintentions using visual design methodologies Demonstrated ability to solve software problems via decomposition Demonstrated ability to work in multithreaded applications Proficient with Object Oriented Design Concepts Familiar with Design Patterns Experience creating complex but efficient objectoriented designs Experience creating modularreusable components Experience working in low memory environments Experience working in a test driven methodology Additional Useful Experience Experience coding for the QNX Operating System Experience with Engine Management and Vehicle systems J1939, CAN Experience working in an AgileScrum Software Development team Experience in OpenGL, OpenVG, or other LowLevel drawing systems Experience leading Scrum teams",Software Engineer Display Solutions Group Job in Tulsa,Full Time,Manufacturing - Other,Not Specified,,,Tulsa,OK 74146
"Management Apprenticeship ProgramGetting paid while you learn might sound too good to be true, but with the Management Apprenticeships Program at Third Coast Events, you really do get the best of both worlds.Third Coast Events offers a Management Apprenticeship Program for those looking for either Full Time Entry Level Positions or Full Time Paid Internships. Our Management Apprenticeship Program focuses on developing those looking start a career in Event Management Marketing, allowing them to take their first steps in the job market and giving them an opportunity to quickly progress to an executive level. Working in conjunction with the top retailers in the US, you will gain invaluable experience and high quality training, while building up your knowledge and skills within the industry and gaining a nationally recognized qualification.Why Third Coast Events The Management Apprenticeship Program is formed of multiple stagesFoundation Apprenticeship Learn the basic Marketing Management Strategies and Systems Work within a team and gain an excellent understanding of customer service in a retail settingGain the knowledge and skills required to represent a wide variety of clients and products Advanced ApprenticeshipManagement Leadership skills Develop working relationships with colleagues, giving them direction and support, and starting to lead the teamLearn how to management and oversee a client campaign from start to finish Learn the behind the scenes of the events Human ResourcesInventory Management Payroll Schedules Client RelationsRequirementsEssential criteria to apply for this programMust be available for Full Time Must be able to travel locally Must be able to work some nights and weekends for events Experience or related college coursework in the following preferred Management, Marketing, Public Relations, Communications or Business Administration No formal qualification required, however you will need to clearly demonstrate a passion for success, and the determination to take on a supervisory position on completion of your apprenticeship.",Management Apprenticeship Program Job in Houston,Full Time,Advertising and PR ServicesManagement Consulting ServicesBusiness Services - Other,Business/Strategic Management,,,Houston,TX 77040
"Job Description Technical JapaneseEnglish Speaking InterpreterTranslator for Toyota Motor Manufacturing To Apply Send resumes to treictnorthamerica.comJob Dates May 30, 2016 to November 25, 2016 Location West VirginiaJob Openings ICT is looking for JapaneseEnglish interpreterstranslators to assist as written and spoken communication bridge between American and Japanese engineers. These individuals will be working onsite at the Toyota Motors plant. Interpreting and translation will take place in business and engineering meetings, on the plant floors, and in the plant office.Requirements Must be able to speak both English and Japanese fluentlyMust be able to read and write Japanese kanji at a fluent level Note our scale for kanji fluency is based on being able to read 75 or more of a standard Japanese newspaper Must have good interpersonal skills Must have previous interpreting and translation experience Must be willing to work onsite at the Toyota facility Four year degree or equivalent experience Good verbal and written communication skillsA good team member attitude Benefits Salary is based on the individuals experienceForty plus hours per week Overtime paid at time and a half Housing provided Meal allowance Insurance after 3 monthsTravel Paid Please contact us if you would like more information about working on ICTs team. For more information or to apply through ICT,LLC see www.ictnorthamerica.com",Japanese and English Speaking Interpreter and Translator for Toyota Motor Mgf. Job in Charleston,Full Time,Manufacturing - Other,Experienced (Non-Manager),58000.0,65000.0,Charleston,WV
"Job DescriptionJOB SUMMARYThe Office Administrator provides administrative support to the team by way of telephone and inperson reception, the maintaining of supplies and providing overall general administrative support.DUTIES ESSENTIAL JOB FUNCTIONSPhone, answered within 2 rings, working knowledge of voicemail.Facilitate proper sign in procedure for all onsite visits, deliveries, or otherwise, according to 1 Method policy and procedures.Work off of checklist throughout the day.Keep office clean and neat.Word processing, filing all paperwork for program, and faxing when necessary.Put together all packets Prospectus, Admit Packs, Residential Charts, etc., when needed.Maintain supply of pass forms and FAX cover sheets.Keep list of needed office related supplies.Order supplies from appropriate vendors.Check FAX paper every 12 hour, and distribute faxes immediately.Copy medical chartsrecords when requested by authorized party according to 1 Method.Facilitate intake paperwork when necessary.Provide general administrative support to clinical staff when needed, typing court letters, client contracts and memos.Create weekly IOP UA list.Update Phone list Weekly.Maintain records of staff Birthdays natal and sober.Buy and prepare birthday cards for staff.Fill office supply orders from staff as needed after approval.Facilitate outings or appropriate groups on asneeded basis.OTHER FUNCTIONS AND RESPONSIBILITIESPerform other duties as assigned.Represent program positively in all marketing opportunities. We are an equal employment opportunity employer and will consider all qualified candidates without regard to disability or protected veteran status. You can view all of our jobs online at httpwww.appleone.comsc11id1036064 Job Experience,",Office Administrator Job in Denver,Full Time,Other/Not Classified,Experienced (Non-Manager),,,Denver,CO 80237
"A Surveyor Assistant is needed for a leading electrical contractor in Northwest Houston, TX. The Surveyor Assistant is responsible for aiding the surveyor in determining electrical routing, rack locations, and inserts on concrete decks. Qualified candidates must have 1 year of related experience assisting surveyors in the field. This is slated as a contract opportunity slated to last 6 months with the possibility of extension or even becoming direct. This position is located in Houston, TX, and the incumbent will be required to work at construction projects on the Northwest, North, and Southeastern regions of the city. Our client is only seeking local talent at this time. Responsibilities for the SurveyorAssist surveyor to create job layout jobDevelop underground electrical path from the transformer to the switch gear, as well as location for inserts on concrete decks and rack locationsSet points using Autodesk Point Layout and export for use in Field LinkExport layout points from Trimble Field Link for use in record drawingsRequirements for the Surveyor1 year of experience as a civil surveyor assistantAutoCAD proficiency is preferred BenefitsComprehensive contractor benefits This Job is located in Houston, TX United States",Surveyor Trimble Field Link Construction Job in Houston,Full Time,Not Specified,Not Specified,31200.0,33280.0,Houston,TX 77001
"Were looking for team players to provide construction and engineering support vital to the successful outcome of Army National Guard missions. As a member of a Guard Combat Engineer team, youll be designing and building bridges, roadways, secure perimeters, and tactical firing systems, as well as detecting and safely neutralizing mines and other dangers. In doing so, you will ensure the safe and timely mobility of other combat teams and materials. After your paid Guard training and experience, you will be qualified to pursue a variety of civilian career paths, including construction, building inspection, and building engineering.Earn while you learnGet paid to learn Join the Guard and you will learn valuable job skills while earning a regular paycheck and qualifying for tuition assistance.Job training requires 10 weeks of Basic Training, where youll learn basic Soldiering skills, and six weeks of Advanced Individual Training AIT. Your onthejob training primarily consists of handson work in a variety of construction projects.Applicants must meet minimum qualifications. Actual MOS assignment may depend on MOS availability. Benefits subject to change. BenefitsPaid trainingA monthly paycheckMontgomery GI BillRetirement benefits for parttime serviceLowcost life insurance up to 400,000 in coverage401ktype savings planStudent Loan Repayment Program up to 50,000, for existing loansHealthcare Benefits AvailableRequirementsHigh School Diploma or GEDMust be between the ages of 17 and 35Must be able to pass a physical exam and meet legal and moral standardsMust meet citizenship requirements see NATIONALGUARD.com for detailsMost nonprior service candidates will earn between 196.26 and 254.91 per drill weekend.Programs and benefits are subject to change.",Combat Engineer Construction and Engineering Specialist Job in Bradford,Not Specified,Not Specified,General/Other: Engineering,,,Bradford,Vt 05033
"Respiratory Therapist PRN Nights Kindred Hospital Medical Center Job Number 266123 Description ITS SIMPLE. You want to work in a healthcare setting where you are valued and appreciated where you receive respect from your superiors and coworkers as well as the patients you treat. You want to be challenged by your job without being overwhelmed by it. You want to play an instrumental role in helping a patient recover, sometimes against strong odds, and go home. What you want is Kindred Healthcare. Our mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve. Join us Summary The Respiratory Therapist is responsible for administering safe and competent respiratory care as ordered per physician, monitoring mechanical ventilation, administering medications, patient assessment, understanding ramifications of hemodynamic monitoring, understanding blood work results, monitoring, teaching, and training. Respiratory Therapy Respiratory Care Respiratory Therapist RT Qualifications Qualifications Education As required for Registry by National Board of Respiratory Care for Registry. LicensesCertification Current credential as Registered Respiratory Therapist by the National Board of Respiratory Care. Current licensure from state licensure agency. BLS Certification. Must maintain currency of NBRC credential, BLS Certification and State license. Experience None If you are a current KindredRehabCare employee . Job Respiratory Therapy Primary Location TXHoustonKindred HospitalHouston Med Ctr Organization 4685 Kindred HospitalHouston Med Ctr Shift Night",Respiratory Therapist PRN Nights Kindred Hospital Medical Center Job in Houston,Full Time,Healthcare Services,Medical/Health,,,Respiratory Therapist PRN Nights - Kindred Hospital Medical Center ( Job Number: 266123 ) Description IT'S SIMPLE. You want to work in a healthcare setting where you are valued and appreciated - where you receive respect from your superiors and co-workers as well as the patients you treat. You want to be challenged by your job without being overwhelmed by it. You want to play an instrumental role in helping a patient recover,Not Specified
"Adolfson Peterson AP, one of the nations top contractors, has an opening for a Project Engineer on its Mountain States regional team. This position is responsible for serving as a liaison to subcontractors and client representatives, this includes developing project reports, schedules and analyses. Because safety is paramount to AP and embedded into everything we do, all team members are responsible for working safely within our Incident and Injury Free culture. Key accountabilities of the role include Collaborate as part of the project team to ensure timely and quality results for the client. Prepare, monitor, and update status reports and prices daily Liaison with and create positive communications with clients, subcontractors, other professional organizations, and staff throughout the organization. Maintain the trade contractorsupplier log. Monitor the quality control program to ensure compliance. Make recommendations to improve performance. Review project plans for constructability and cost feasibility complete project risk assessments and scope of work matrices. Analyze and coordinate project progress, costs, budgets, and cash flow. Requirements Bachelors degree in Construction Management, Architecture, or Engineering and experience in the areas of design, estimating andor field supervision while achieving high quality construction standards. Exposure to project accounting and contracts preferred. Ability to read and comprehend building plans and specifications and recognize safety standards and issues. Advanced computer skills including Microsoft Office, Microsoft Project, Primavera, and Prolog. Exposure to Value Engineering life cycle costing and sustainability a plus. Current or ability to become current with OSHA and company safety requirements. Ability to travel and work at various job sites. Valid drivers license with a clean driving record required. Demonstrated integrity and ethical standards. Developed skills written, oral, and listening in order to effectively communicate with diverse audiences. Ability to efficiently manage multiple projects and priorities simultaneously under time constraints. NO PHONE CALLS PLEASE NO THIRDPARTY RECRUITERS Adolfson Peterson Construction is an Equal Opportunity Employer",Project Engineer CO Job in Aurora,Full Time,Construction - Residential & Commercial/Office,Entry Level,,,Aurora,CO 80011
"The Project Manager reports directly to the Construction Operations Manager. The PM is the direct supervisor of assigned estimators. The PM is responsible for the solicitation of project documents and information, ensures that all information is put into the hands of hub estimators, support team members as well as outside vendors through a functional RFP procedure. The PM is responsible for following up on all outstanding RFP s to ensure the project bid date is hit. During the estimating process the PM solicits additional information from the client on behalf of the estimator, or ensures the estimator is gathering the information of their own accord. The PM may be called upon to meet with customers before and during the execution of the project. Proficiency using Microsoft office Minimum 35 years of progressive responsibility estimating for the construction industryExperience in contract negotiation with subcontractors and vendors as well as buyoutExperience managing a project budget",Project Manager Z Job in Houston,Full Time,Not Specified,Business/Strategic Management,,,Houston,TX 77034
"Accounts Receivable Commercial Real Estate Job in Denver, Colorado. Accounting Principals is currently seeking a candidate for an Accounts Receivable job in Denver, CO. This candidate must have 2 years of Accounts Receivable experience and experience working with a commercial real estate company. This job has great opportunities for growth, is a direct hire opportunity, and is looking to hire immediately Accounts Receivable Job Responsibilities Daily cash application and cash reconciliation Billing Reconciliations Preparing invoices weekly Qualifications Commercial real estate experience Motivated, diligent and reliable individuals Able to work in fastpaced environment Attention to detail Experience in the construction industry preferred Bachelors Degree preferred, but not required If you are interested in applying to this AR job in Denver, CO, please email Danielle Norris at Danielle.NorrisAccountingPrincipals.com and include AR Real Estate in the email subject. Equal Opportunity Employer MinoritiesWomenVeteransDisabled",Accounts Receivable Commercial Real Estate Job in Denver,Full Time,Not Specified,Accounting/Finance/Insurance,,,Denver,CO 80202
"Job Title Technical Writer Location Franklin Lakes, NJDuration 06 Months QUALIFICATIONSRequired work sample of Technical writerBachelors degree in engineering or related technical field Need at least 4 years of in medical devices.Ability to follow instructions accurately and work as a member of a team Has knowledge of theories, practices and procedures in medical device documentation high level of expertise with content publishing tools such as Microsoft Office software Microsoft PowerPoint, Microsoft Word, screen capture software, graphics packages, Microsoft VISIO, etc. Excellent written, verbal and listening skills must work well with others Strong attention to detail, accuracy Understanding of medical devices Ability to operate in a matrix environment with multiple competing priorities RESPONSIBILITIES This function will work with RD Core Team Members from multiple BDMPSSAIS Sustaining and New Product Development project teams to create and modify project level documentation within tight timelines.The technical writer will contribute high quality documentation for the Design History Files within the guidance of PS procedures.Responsibilities include but are not limited to Responsible for editing, rewriting, and authenticating programprojected related documentation including design control documentation, project timelines, charters, verificationvalidations plansprotocolsreports, following current PS procedures and templates Technical Writer will interface with technical professionals in the writing, editing, and publication of various types of technical product and process support documentation. Edit and format technical materials Meet deadlines so documentation is available as requested Ensures consistency, clarity, and quality in and across all types of documentation Engages in formatting, editing, and quality assurance on own work and the work of others Identify and correct problems as they arise Applies knowledge and skills to complete own work Depends on others for instruction, guidance and direction Develops competence in own area by performing routine work Send Supplier ApprovalNotification of change to external vendors Label Approvals route product labeling for approval via BDMPS local procedure Work with project team and functional business approvers to gather the appropriate documentation to manage the change Thanks Regards,Nareshnaresh.vstiorg.com609 232 8703",Technical Writer Job in Franklin Lakes,Full Time,Not Specified,Not Specified,,,Franklin Lakes,NJ 07417
"Palgrave Macmillan is a global academic publisher for scholarship, research and professional learning. We publish monographs, journals, reference works and professional titles, online and in print. With a focus on the humanities, business and social sciences, Palgrave Macmillan offers authors and readers the very best in academic content whilst also supporting the community with innovative new formats and tools. Palgrave Macmillan is a global academic publisher for scholarship, research and professional learning. We publish monographs, journals, reference works and professional titles, online and in print. With a focus on the humanities, business and social sciences, Palgrave Macmillan offers authors and readers the very best in academic content whilst also supporting the community with innovative new formats and tools. Our primary global offices are based in London, New York, and Shanghai. Job Duties An exciting and challenging opportunity has arisen to join the successful Scholarly and Reference team at Palgrave Macmillan, a leading global publisher in the Social Sciences and Humanities. We are looking to recruit an outstanding Commissioning Editor for our Sociology programme. The ideal candidate is a commerciallyaware, targetminded, energetic, driven, and creative selfstarter, who is passionate about scholarly publishing, and has a strong interest in developing our Sociology list within North America to lead it to further success. This role would be ideal for an Assistant Editor with some acquisitions experience looking to take the next steps in their career. Key responsibilities include Proposing, commissioning and developing profitable monographs and other scholarly titles Pesearching the market to identify opportunities for list development Cultivating and managing external relationships with authors and advisors Project management and development of titles from contract through to publication Liaise with colleagues in production, marketing, sales and overseas offices National and international travel to university departments and conferences Other duties as required Job Requirements Bachelors degree with 23 years experience in publishing Knowledgeable and able to speak to the academic educational market and publishing Experience and knowledge of the editorial process Excellent communication skills written and verbal Strong organisational skills with an ability to balance priorities Ability to delegate appropriately Able to build strong and effective working relationships with colleagues and external contacts Autonomous worker and to use own initiative Selfmotivated with a calm, professional approach and a cando attitude Experience of independently commissioning projects Proven organisational skills Ability to multitask and work to tight deadlines Previous experience of working in a team as well as independently Experience of building effective working relationships Ability to think creatively and solve problems Springer Nature is a leading global research, educational and professional publisher, home to an array of respected and trusted brands providing quality content through a range of innovative products and services. Springer Nature is the worlds largest academic book publisher, publisher of the worlds highest impact journals and a pioneer in the field of open research. The company numbers almost 13,000 staff in over 50 countries and has a turnover of approximately EUR 1.5 billion. Springer Nature was formed in 2015 through the merger of Nature Publishing Group, Palgrave Macmillan, Macmillan Education and Springer ScienceBusiness Media. We offer a comprehensive benefits package that includes Medical, Dental and Vision Life and ADD 401k Flexible Spending Accounts Transit Accounts Tuition Assistance Summer Hours Springer Nature is an Equal Opportunity Employer that complies with the laws and regulations set forth in the following EEO Is The Law Poster httpwww.dol.govofccpregscomplianceposterspdfeeopost.pdf. Additional InformationPosition Start Date 20160504Position End Date 20170504",Commissioning Editor,Full Time,Printing and Publishing,Editorial/Writing,,,New York,NY 10013
"Ebert Engineering Inc.currently has an opening for a civil engineer with background in water and wastewater design. Candidates should be selfmotivated, detailoriented design engineer with experience in water andwastewater treatment plants, pumping stations, sewers, collection and conveyance systems design and permitting. QualificationsB.S. in Civil Engineering.Ability to prepare concept drawings, documents, maps, reports and support documentation.Excellent written and communication skills.Design experience with AutoCAD A plus but not required.Experience dealing with regulatory agencies and review professionals.Self starter, can work independently and with team members.Must be deadlineoriented, self motivated and able to handle multiple assignments with minimum guidance.Good interpersonal skills to effectively coordinate with clients, government agencies and contractors.Tracking budgets.Good organizational skills.",Water and Wastewater Design Engineer Job in Skippack,Full Time,Engineering Services,Not Specified,,,Skippack,PA 19474
"Elementary English Language Acquisition Spanish Teacher Denver Public Schools District 1, Denver, CO Mult. Openings. Bachr Dgr in Eng, Span, Edu, Foreign Lang Edu, or foreign equvlnt. 1 yr exp in Edu. CO Tchr License with endrsmnts in Spanish and Linguistically Diverse Education. Follow DPS Curriculum to instruct students. Resumes Denver Public Schools District 1 HR, Attn DPS11, 1860 Lincoln St., Ste. 1128, Denver, CO 80203",Elementary English Language Acquisition Spanish Teacher Job in Denver,Full Time,Not Specified,Not Specified,,,Denver,CO 80203
"A Fortune 500 and worldwide leader in business aviation specializing in Command and Control, Communications Networking, Rugged Computing, Information Assurance and Cyber Defense is searching for the right talent to fill this opportunity Senior Software EngineerFort Wayne, IN 20162841ResponsibilitiesIn this role you willWork as a part of the software development team to implement and test software requirementsWork with other engineers, systems analysts, programmers, technicians, and toplevel managers in the architecture and design of the software systemWork closely with the systems and test groups to ensure that the developed software meets the customers expectationsCreate scripts to build workflows or custom solutions to problemsWrite procedures, methods, workflow documents and standard operating proceduresAbility to exercise attention to detail and follow oral and written instructionsCommunicate effectively, both orally and in writing, help identify workflow inefficiencies and problems that can arise and helps develop workaroundsQualificationsBecause this is a Government Contract, you must be a U.S. Citizen for consideration.Must have experience developing large applications in C using Microsoft Visual StudioShould have experience with the Standard Template Library STLMust have experience designing, writing, and debugging desktop applications for Microsoft WindowsMust be skilled in objectoriented design and applying design patternsCommunicates effectively and able to work as part of a software teamExperience in any of the following would be helpful Experience with storing and retrieving using databases with SQL Experience creating user interfaces with Qt Experience with digital geographic mapping technologies Experience writing automated unit tests Experience with multithreading, synchronization, and mutexs Familiarity with internet protocol networking IPTCPUDP and WinSock Experience with crossplatform development using GCC on Linux Knowledge of US Army operational doctrine or military domain User Interface development Education and Experience Bachelors degree in Software Engineering, Electrical andor Systems Engineering, Computer Science, a related technical field or the equivalent experience is required. In addition, a minimum of 8 years of relevant experience is required. Conditions of EmploymentApplicants selected for employment will be required to pass a preemployment drug screening and background investigation which may include education, criminal and work history verifications. About Our CompanyMoseley Technical Services, Inc. is dedicated to providing our clients with a high standard of quality products and services. For two decades, our reputation has been built on this dedication and the longterm relationships developed with some of the most prestigious companies in the aerospace and defense industries. These business relationships give you the opportunity to not only find a job but to find one you can value and enjoy. We will be dedicated to you and to making your career a success. Accepted applicants will have the opportunity to be eligible for benefits, including medical and supplemental insurance and a 401K. Appreciation and gratitude for employees is a hallmark of organizations with low turnover. Moseley Technical Services, Inc. is an affirmative action and equal opportunity employer. Join a team that values your experience",Software Engineer Job in Fort Wayne,Full Time,Not Specified,Engineering,,,Fort Wayne,IN
"Retail Customer Engagement Specialist Entry Level Entry Level Customer Engagement Specialist Duties Greet and engage customer sat our promotional campaigns Alert department associates of customers and their product interests Engage customers in our clients Products Services Assist Management team with event prep and closing Assist New Team members with client knowledge As business needs arise, other tasks may become necessary.RequirementsQualifications Flexible availability this is NOT a Monday Friday 95 position, event hours may vary Ability to provide outstanding customer service Passion for the great customer service and career growth Ability to travel locally for events",Retail Merchandise Apprenticeship Full Time Internships Job in Houston,Full Time,RetailAdvertising and PR ServicesBusiness Services - Other,Marketing/Product,,,Houston,TX 77040
"The Project Engineer is experienced in leadership, accountable for overall project implementation. We need a change agent who is passionate, has high energy, and is resultsoriented with a creative and analytical mind. We look for folks with experience with advanced project management tools and processes. You MUST have Oil and Gas industry experience and worked on construction projects as well. As a Project Engineer, your primary goals and focus will be to Be a liason to the clients ti create streamlined communication and expectations for projects. Prepare project proposals using customer plans and solicit bids from outside vendors. You must feel comfortable presenting the proposals to the customer and overcoming and objections project related. Manage all aspects of the project including team members as necessary. The ideal candidate for this position will possess the following MUST have 35 years Oil and Gas as well as Construction industry experience. Ability to interface with customers in a sales and project management environment. Understand local and state regulations as well as codes in area. Interviews are being conducted immediately and they want to act quickly to start the right candidates. If you have a passion to continuously learn and grow your Inside Sales career, we would love for you to apply to be a part of our team. For an immediate interview, please submit your resume for this position. Equal Opportunity Employer MinoritiesWomenVeteransDisabled",Project Engineer Job in Dayton,Full Time,Not Specified,Engineering,,,Dayton,OH 45414
"DescriptionIf your goal is to begin a fantastic part time career working up to 25 hours per week where your talents will be valued and respected Murphy USA is an outstanding employer of choice. To be successful as a cashier, you need energy, excellent work ethic, a great attitude, and a smile. You will be the face of our company and deliver the legendary customer service that Murphy USA and our associates are known for providing. RESPONSIBILITIES Providing a prompt, efficient, and courteous customer experience. Responding and resolving customers requests and concerns. Assisting customers with purchases and fuel transactions. Operating cash register. Restocking merchandise. Performing job related duties as assigned. REQUIREMENTS Must be 18 Years of age, 19 in Alabama and 21 in Illinois. Excellent customer service skills, communication skills, and a happy attitude are essential. Cash Handling Skills. Must be able to perform repeated bending, standing, and reaching. Must be able to occasionally lift up to 50 pounds. HIGHLIGHTS A job is more than just a job when its a career at Murphy USA. We do our best to provide the most supportive and enjoyable atmosphere possible for our employees. When you know that you are making a difference in the lives of those around you. When you go to work every day looking forward to the day ahead of you. When the decisions you make on the job really matter to those whom you serve. Murphy USA offers a fast paced environment where bright, talented individuals who are willing to work hard are valued and can make a difference. Murphy USA can help you schedule your work around your busy life. Murphy USA operates over 1,200 locations in 23 states and is adding new locations every year. The growth provides career advancement opportunities for top performing team members. Murphy USA Inc is an equal opportunity employer. Qualified applicants are considered for all positions without regard to race, color, religion, gender, national origin, disability, veteran status, age, or any other class or category protected by federal, state, or local law.",CASHIER Job in Houston,Full Time,Retail,Experienced (Non-Manager),,,Houston,TX
"Enterprise Products Partners L.P. is one of the largest publicly traded partnerships and a leading North American provider of energy services to producers and consumers of natural gas, natural gas liquids, crude oil, refined products and petrochemicals. Headquartered in Houston, Texas, Enterprise Products is ranked 59th on the FORTUNE 500 and has approximately 6,900 employees. Enterprises large, integrated portfolio of operationally and geographically diverse assets, highlighted by its approximately 49,000mile pipeline network, serves as the foundation for organic growth opportunities. As a provider of largely feebased services, Enterprise is less susceptible to commodity price fluctuations and offers stable sources of revenue. The partnerships service offerings include pipeline transportation and gathering, processing, storage, fractionation, terminalling, importexport capabilities and marketing. Enterprise also has a marine transportation business that operates primarily on the United States inland and Intracoastal Waterway systems and in the Gulf of Mexico. Additionally, energy professionals are discovering rewarding opportunities with Enterprise Products by putting their skills to work in exciting new growth areas, developing markets and pursuing innovative solutions for meeting the needs of customers and promote energy security for the country. Make the most of your talents in a fastpaced environment driven by people who strive for achievement. Enjoy corporate strength, stability, and a rewarding career at a growing industryleading and diverse operating company with a track record for success. Tap into the professional possibilities of Enterprise Products Company. The Technical Writer Specialist designs, writes, publishes, maintains, and provides translationfriendly high quality, customerfocused technical content including operating procedures, maintenance procedures, technical manuals, technical illustrations, online help, and other materials as needed to support Enterprise Operations and Maintenance activities. Other responsibilities include, but are not limited toDevelops written content, technical illustrations, and photos as required for projects. Obtains technical reviews from content owners and ensures the accuracy of revisions to provide customers with the highest quality technical materials. Collaborates with business partners to develop and manage a technical documentation plan for each project outlining deliverables, due dates, and launch requirements. Arranges and manage all relationships including quality reviews as required to meet project deliverables within established timelines to ensure an accurate delivery of technical publications to the customer. Adheres to and applies styles and formats as outlined in the technical writing style guide. Participates in continuous improvement of technical writing processes and systems e.g., content management to ensure quality, compliance, and reliability of technical publications. The successful candidate will meet the following qualificationsBachelors degree is required, preferably in Communications, English, or a technical field. Extensive experience will be considered in lieu of a degree. 3 years or more experience as a technical writer is required. Experience writing for an industrialmanufacturing company is required. Strong communication skills, including writing, editing, and proofreading is required. Experience writing operating procedures, technical manuals, andor productoriented documentation is required. Solid knowledge of Microsoft Office suite, Adobe suite products, and similar word processing and desktop publishing tools are preferred. Knowledge of fonts and typefaces is required. Ability to understand and interpret technical manuals and technical data are required. Ability to organize a wide variety of technical material. Experience in content management andor revision control systems is preferred. Experience with print, webbased, and electronic delivery of documents is required. Strong interpersonal skills ability to integrate seamlessly into diverse teams. Basic project management skills is preferred. Database and internetrelated communications and file transfer knowledge is preferred. Strong computer skills and outstanding organizational ability. Excellent verbal and written command of the language. A personality that lends itself to leadership within a group and should be able to build and maintain relationships outside the training group. Ability to travel up to 50. Additional InformationTravel Percentage 50",Specialist,Full Time,All,Experienced (Non-Manager),,,Houston,TX 77001
"1. Do you enjoy creating partnerships and longlasting relationships2. Do you love the art of closing new business3. Do you have a knack for reaching decision leaders 4. Do you like creating solutions using the latest in technologyIf you answered yes to these questions, please keep reading to understand more about an exciting new opportunity with Electrosonic Inc. The PositionWith a position at Electrosonic Inc, you join a team that provides cuttingedge solutions for worldclass projects. Electrosonic is made up of passionate, supersmart, energetic people, who will challenge and inspire you every day. Do you want to be part of something exciting and unique Then please join us. Electrosonic Inc. is looking for a Sales Consultant located in the Bay Area who reports directly to the Vice President of Sales.In this role you will pursue, seek out and nurture audiovisual Design, Systems Integration and Service business in various markets including but not limited to Themed Entertainment, Museums, Hospitality, Theater, and Retail. You will ensure that the sales volume meets or exceeds the Companys short and long term quotas and expectations. In addition, this position shall nurture and maintain key client relationships as well as development new client relationships and bring in new work not currently in the Companys portfolio.What you will be doing. 1. Establish and support customers utilizing personal selling skills and contacts as well as the companys promotional campaigns and marketing resources. 2. Develop and maintain new and existing client relationships.3. Prepare provide formal written proposals and quotations to prospective clients. 4. Provide professional and timely responses to client requests and questions. 5. Obtain bidding documents and lead bid package responses.6. Coordinate and obtain approval on proposals with other Electrosonic departments to ensure proposal accuracy and continuity e.g. credit terms approval from the Controller Terms Conditions from Legal. 7. Provide the required monthly sales, quotes, and forecast reports. Attend sales meetings as required.8. Achieve or exceed planned i.e. budgeted sales objectives. 9. Demonstrate product and system capabilities to all levels of clients, including oneonone situations as well as representing the company at trade and industry shows and events.10. Assist in the coordination, setup, and planning of events, demos, open houses and off site sales promotional events as necessary. 11. Travel to customers, trade shows and other preapproved events as required.12. Perform other activities and responsibilities as directed by the immediate manager. What Experience, Skills and Attributes you will need to be successful. 1. Must have good knowledge in AudioVideo technologies and integration. Construction experience, business management, contracting and negotiation are preferred.2. Project management experience including the ability to create and define project budgets, scope of works, and schedules.3. Ability to comprehend and clearly communicate technical requirements and specifications.4. Good organizational skills, flexibility, and the capacity to manage multiple projects and clients. What qualifications are required. 1. 5 years of industry experience.2. Must have proven closing and negotiating skills.3. Must have professional presentation skills. Candidate will have to give a formal presentation as part of the interview process.4. Must possess strong communication and written skills. Must be proficient in MS Word, Excel, Project, CRM, and Outlook programs. Experience with Microsoft Project, AutoCAD, Revit, Navision, and Microsoft CRM Dynamics is beneficial but not required. 5. Must be willing to travel and regularly visit customers.6. A willingness to be a team player and the ability to work with colleagues of all levels. Company Description Electrosonic is a worldwide audiovisual company with extensive experience in designing, project managing, engineering and supporting AV systems and products. Founded in 1964, the company has always been among the first to apply new technology to create tailored, stateoftheart solutions that meet the challenges of the professional AV market.",Sales Consultant Job in Livermore,Full Time,"Electronics, Components, and Semiconductor Mfg",Experienced (Non-Manager),,,Livermore,CA 94551
"Maden Technologies is accepting applications for the abovereferenced position from qualified candidates who prepare reports and technical manual inputs and are familiar with USAF technical manual procedures.Maden Technologies offers a competitive salary DOE. For immediate consideration, please forward your resume and salary requirement.",Technical Writer Documentation Job in Ogden,Part Time,Not Specified,Editorial/Writing,,,Ogden,UT
